Team,Total Matches With,Wins With,Losses With,Wins Against,Losses Against,Delta Against,Delta With
1640,2,0,1,0,1,-1,-1
360,1,0,0,0,1,-1,0
862,1,0,0,0,1,-1,0
3664,6,0,1,2,3,-1,-1
3590,2,1,0,0,1,-1,1
3739,10,2,2,4,2,2,0
3533,2,0,0,0,2,-2,0
3531,1,0,0,1,0,1,0
3550,1,0,1,0,0,0,-1
3571,10,1,2,6,1,5,-1
3541,2,0,0,1,1,0,0
3710,2,0,1,0,1,-1,-1
3543,8,0,4,4,0,4,-4
2252,2,0,1,0,1,-1,-1
2641,6,1,0,2,3,-1,1
1038,3,2,0,0,1,-1,2
1708,2,0,1,1,0,1,-1
3567,4,0,1,2,1,1,-1
1541,2,1,0,1,0,1,1
2172,2,0,1,0,1,-1,-1
306,2,0,1,1,0,1,-1
1743,2,0,1,0,1,-1,-1
3356,1,0,1,0,0,0,-1
2656,1,0,1,0,0,0,-1
2603,2,0,1,0,1,-1,-1
3193,9,4,3,0,2,-2,1
2051,3,0,0,1,2,-1,0
337,7,1,2,3,1,2,-1
3511,3,0,1,1,1,0,-1
3260,5,2,1,0,2,-2,1
3138,2,1,0,0,1,-1,1
1319,2,1,0,0,1,-1,1
128,2,0,0,1,1,0,0
117,2,0,1,1,0,1,-1
3504,3,0,1,0,2,-2,-1
3492,2,0,0,1,1,0,0
2614,1,0,0,1,0,1,0
2544,2,0,1,0,1,-1,-1
1249,1,0,0,0,1,-1,0
3062,2,0,0,1,1,0,0
1538,2,1,0,0,1,-1,1
766,2,0,0,1,1,0,0
4353,1,0,0,1,0,1,0
4159,1,0,1,0,0,0,-1
2158,1,0,1,0,0,0,-1
868,1,0,0,0,1,-1,0
1212,1,0,0,0,1,-1,0
125,1,0,0,0,1,-1,0
4013,1,0,1,0,0,0,-1
801,1,0,1,0,0,0,-1
2439,2,1,0,0,1,-1,1
585,1,0,0,0,1,-1,0
4031,2,0,1,1,0,1,-1
1747,1,0,1,0,0,0,-1
3925,1,0,0,0,1,-1,0
