Team,Elo Rating for Bonus RPs
frc9040,-708.9469154789485
frc7500,-1416.1456417378536
frc1744,-707.2597768686588
frc8791,-2214.041650380742
frc59,5737.071185189161
frc3627,-2213.364023048257
frc4592,-1411.9211975206094
frc8581,-4558.3845451204825
frc6919,4342.653675944602
frc1683,7173.063280314197
frc4509,7175.128775866203
frc4112,3835.793442099746
frc9260,2009.3919250635017
frc4188,3707.5534873833913
frc4701,2559.5756525874804
frc7538,5052.48966892416
frc3344,2561.4720687506874
frc8100,-2996.758654583969
frc8137,2025.140450869253
frc5848,-2996.2592704404437
frc4240,734.0020148085364
frc5828,-698.8901169582699
frc3635,3096.020887514025
frc3329,-3802.3277632304935
frc7470,-2205.6561737340885
frc8815,8.769450797822012
frc4459,9.04453605096652
frc9086,-3795.9519519283513
frc4730,-1402.3492013825207
frc857,4540.325806792146
frc3175,8351.95916854431
frc5505,2581.13360531981
frc6637,4362.256414590597
frc6569,5058.684734520835
frc4391,5738.488350124302
frc7782,5740.429006607875
frc7250,6431.2973165953035
frc4392,3727.7742365795657
frc573,7171.678902296411
frc5314,8292.672430401244
frc9249,-1401.7369378089716
frc4375,-1401.182539209115
frc4835,-2990.346010072903
frc5534,7751.405905477136
frc6077,-2196.252171803983
frc2586,2035.944191149423
frc4988,-688.0259932665223
frc7154,2037.4611555230586
frc9188,-2193.655644500716
frc6079,-685.4804040721376
frc5486,-684.2703927180521
frc6112,1383.8327995440275
frc3602,1385.3115663180956
frc1596,-2189.792034474806
frc7768,-2189.5367192261247
frc6345,747.6063312203709
frc7826,-2188.546941782045
frc8382,5072.261663431083
frc4827,-1391.4771325442453
frc7713,15.119288653610502
frc5706,15.81061961333615
frc7244,3117.259209896902
frc6088,-1387.5773529339708
frc5213,-671.6852980680775
frc4376,-2184.456356726784
frc5714,-2184.194355409923
frc6558,749.0962700554805
frc3357,7174.510438294219
frc3767,4541.5554764139915
frc6081,7176.224569307025
frc1918,8280.229852687684
frc3603,3738.099335018238
frc85,5078.295436216852
frc4377,5747.1774004320305
frc7794,3128.390304367587
frc2054,7754.221140729981
frc7202,-1383.6730765820312
frc3234,4391.618193559441
frc7289,-1382.9429466378938
frc6753,7755.598328685174
frc7054,8677.344185809216
frc1711,4393.223457860922
frc7155,-2181.8210172959584
frc3688,9882.14370747952
frc4967,5748.060207026999
frc2771,2588.9709214209074
frc8612,1388.6254660907796
frc9106,1390.3621787411018
frc4237,3763.7437391344656
frc7226,7177.4897096809145
