Team,Title,Published At,Subscriber Count,View Count,Video Count
2403,Plasma Robotics,2011-02-24T05:31:50Z,1230,1216147,326
2415,WiredCats2415,2010-10-23T01:23:33Z,25,3344,10
2468,FRC 2468 Team Appreciate,2013-03-31T22:53:03Z,446,102472,320
2481,Roboteers Team 2481,2010-03-04T16:33:34Z,305,189632,300
2485,FRC Team 2485,2011-02-21T04:30:55Z,329,102672,160
2491,NoMythic2491,2011-12-28T16:19:45Z,63,8135,28
2500,Herobotics2500,2010-12-11T04:56:15Z,19,2370,17
2512,Duluth East Daredevils,2011-10-02T13:50:07Z,92,12307,21
2537,Space RAIDers,2011-02-15T17:14:16Z,129,8847,22
2557,Sotabots2557,2011-03-19T03:58:14Z,127,8998,62
2574,St. Anthony RoboHuskie,2011-02-23T22:49:14Z,14,1611,20
2576,chileanheart2576,2010-02-01T14:18:22Z,110,28927,50
2587,Disco Bots,2010-01-16T23:55:20Z,362,150029,263
2590,FRC2590,2010-02-17T00:30:12Z,185,64404,103
2614,MARS FRC,2009-02-21T21:22:44Z,256,111449,232
2619,Sparky Charge,2011-09-19T01:31:40Z,44,9543,73
2630,Thunderbolts2630,2009-12-11T20:28:14Z,394,149695,75
2638,Rebel Robotics Team 2638,2010-04-26T22:35:07Z,137,30121,56
2656,Quasics Robotics - 2656,2011-11-28T17:48:48Z,33,4550,101
2713,Red Hawk Robotics #2713,2008-09-10T02:30:49Z,45,12470,58
2729,Storm Robotics 2729,2013-02-11T22:08:04Z,110,27248,126
2823,HP Robotics,2013-01-12T15:06:58Z,31,6974,26
2830,Team2830 Riverside RoboTigers,2011-03-31T01:04:20Z,18,4692,78
2836,teambeta2836,2011-03-20T17:48:25Z,23,10512,57
2855,BeastBot 2855,2013-02-02T18:22:45Z,25,3260,49
2876,BHS Robotix,2009-02-07T16:31:16Z,19,4529,27
2898,Team 2898 - The Flying Hedgehogs,2013-01-12T18:32:34Z,53,5277,11
2959,CWTech Robotarians,2013-01-14T02:32:31Z,64,6745,33
2974,Walton Robotics Media,2011-04-06T17:50:49Z,131,23706,82
2976,The Skyline Spartabots,2011-06-02T23:05:06Z,386,50704,62
2990,HotwireRobotics,2010-12-28T05:20:41Z,1,597,6
3015,Team 3015 - Ranger Robotics,2010-01-23T21:57:07Z,207,50181,32
3042,Cobalt Catalysts,2013-02-09T17:22:32Z,77,18793,149
3075,Ha-Dream Team #3075,2011-01-03T19:12:52Z,300,191277,77
3130,ERRORS 3130,2010-02-20T06:36:43Z,131,34038,142
3132,Thunder Down Under,2010-01-11T21:26:15Z,357,94687,96
3146,3146 Granby GRUNTS,2014-11-07T23:25:08Z,22,3144,9
3158,TECBOT,2011-11-07T17:27:06Z,187,26630,67
3184,Burnsville Blaze,2010-11-22T11:10:41Z,30,12646,131
3196,FIRST Team SPORK,2011-12-10T19:25:40Z,43,8935,27
3197,FRC_3197,2011-01-11T03:46:04Z,79,25134,48
3211,The Y Team 3211,2012-01-23T19:39:38Z,220,92519,93
3255,FRC Team 3255 - SuperNURDs,2012-01-22T06:28:30Z,914,591246,148
3309,Friarbots,2011-01-30T00:35:56Z,278,71789,69
3313,FRC Team 3313 Mechatronics,2011-02-06T06:48:56Z,386,205428,218
3339,BumbleB 3339,2010-03-12T16:16:55Z,738,258162,128
3354,Tecdroid 3354,2013-07-10T02:32:55Z,89,10634,52
3357,COMETS 3357,2010-01-16T02:27:43Z,469,133527,70
3360,Hyperion 3360,2013-01-07T18:16:00Z,341,183400,27
3374,Jackson Hole RoboBroncs,2010-12-15T22:21:34Z,83,21555,71
3459,Team PyroTech,2011-01-04T14:37:35Z,102,22392,87
3476,Team 3476: Code Orange,2011-10-10T19:05:59Z,800,248682,77
3481,Bronc Botz,2012-02-12T17:37:07Z,79,30165,23
3506,YETI Robotics 3506,2012-02-04T23:13:34Z,339,80109,126
3507,Ubotics3507,2011-11-05T02:03:23Z,21,6894,8
3528,teamupnext,2010-12-11T00:56:21Z,72,31986,93
3556,FRC3556,2012-12-23T00:55:10Z,79,18482,34
3572,Team3572MonaShores,2011-03-20T00:45:01Z,103,67359,61
3588,Lindbergh Robotics,2014-05-12T00:38:31Z,106,15222,78
3602,Robomos3602,2013-02-06T21:47:28Z,199,20076,87
3604,FRC Team 3604 - Goon Squad,2013-01-12T21:43:17Z,37,5007,37
3620,FIRST 3620,2012-01-12T01:54:31Z,19,2270,17
3637,Team3637,2011-01-13T01:49:36Z,56,26245,84
3683,teamdave,2006-09-12T00:20:22Z,0,0,0
3695,Foximus Prime 3695 Updated,2011-12-07T02:35:54Z,37,2648,56
3748,FRC Team 3748 Ragnarok Robotics,2013-02-20T06:15:10Z,32,4149,41
3847,Spectrum3847,2011-11-11T19:55:54Z,1370,571382,3434
3863,3863 Pantherbotics,2011-07-08T00:15:48Z,22,6616,28
3875,Red Storm Robotics,2011-01-28T19:05:58Z,447,90587,103
3883,FRC3883,2011-02-14T02:38:05Z,121,36867,106
3926,team3926,2012-04-06T13:45:55Z,18,1856,38
3928,Team Neutrino,2012-11-05T04:25:07Z,149,22743,69
3937,Breakaway3937,2012-07-17T02:02:56Z,115,29703,273
3946,Slidell Robotics,2011-09-05T22:58:54Z,28,1741,18
3966,L&N STEMpunks,2014-01-31T05:51:49Z,52,6987,29
3990,Équipe Team 3990: Tech for Kids,2011-10-11T17:47:02Z,268,89003,91
3997,Screaming Chickens FRC 3997,2012-01-21T16:08:02Z,27,8794,66
3998,Bulloch Academy Robotics,2013-01-10T01:55:36Z,5,789,10
4048,FIRSTteam4048,2012-03-25T22:54:38Z,72,10778,258
4063,TEAM4063,2012-01-23T18:09:32Z,33,10603,20
4099,Team 4099: The Falcons,2012-07-08T15:37:48Z,73,6723,12
4123,Tribe Robotics - FRC Team 4123,2014-03-26T05:00:31Z,24,785,12
4146,Sabercat Robotics,2012-01-07T20:14:59Z,50,2370,24
4151,Scrap4151,2013-01-09T22:43:26Z,26,2889,23
