district,team,total points,average points,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
FIM,7220,296,49.333333333333336,164,52,0,8,44,28,,,,,,,,,
FIM,4392,1126,93.83333333333333,164,182,0,0,134,262,131,71,47,34,52,49,,,
FIM,1684,1623,115.92857142857143,164,207,0,68,270,202,229,123,47.0,42,114,103,59,24,18
FIM,2054,2087,149.07142857142858,164,288,0,57,271,216,125,156,193.0,164,205,158,175,88,20
FIM,2960,1336,89.06666666666666,159,150,0,10,157,52,248,69,141,106,74,40,20,67,43
FIM,3604,1446,120.5,159,179,0,0,347,188,80,213,172.0,123,81,33,43,,
FIM,5462,756,84.0,159,167,0,6,58,92,176,63,35,,,,,,
FIM,5152,785,78.5,157,188,0,28,110,132,39,34,59,38,,,,,
FIM,3603,703,54.07692307692308,157,149,0,0,89,104,32,40,37,16,14,22,43,,
FIM,68,1175,83.92857142857143,155,57,0,0,80,65,171,139,256.0,199,101,45,63,22,78
FIM,9176,154,154.0,154,,,,,,,,,,,,,,
FIM,2834,2096,149.71428571428572,152,208,0,38,193,270,410,256,214.0,144,69,108,86,116,46
FIM,9182,152,152.0,152,,,,,,,,,,,,,,
FIM,2771,1569,104.6,151,164,0,0,184,298,79,238,44,113,72,14,27,107,78
FIM,2611,1340,89.33333333333333,151,203,0,53,223,55,222,99,48,43,71,32,58,54,28
FIM,7197,321,53.5,150,46,0,54,20,51,,,,,,,,,
FIM,910,1721,114.73333333333333,149,173,0,15,223,165,288,70,53,151,75,50,81,150,78
FIM,5114,1304,130.4,148,221,0,45,61,180,255,184,118,92,,,,,
FIM,3688,1279,98.38461538461539,148,149,0,39,172,59,113,188,129,119,79,22,62,,
FIM,5561,857,95.22222222222223,147,50,0,96,141,162,188,43,30,,,,,,
FIM,6078,434,54.25,145,143,0,12,42,43,20,29,,,,,,,
FIM,573,1827,121.8,145,187,0,44,124,175,90,144,252,150,84,125,121,143,43
FIM,4779,796,72.36363636363636,139,79,0,0,51,112,149,52,53,95,66,,,,
FIM,5660,486,54.0,137,136,0,26,39,20,57,33,38,,,,,,
FIM,1918,2419,172.78571428571428,135,236,0,63,273,286,207,214,193.0,179,172,156,184,206,108
FIM,3546,1306,100.46153846153847,135,199,0,0,135,133,227,185,65,50,38,102,37,,
FIM,8728,263,131.5,133,130,,,,,,,,,,,,,
FIM,9227,133,133.0,133,,,,,,,,,,,,,,
FIM,5436,840,93.33333333333333,131,60,0,69,150,159,172,40,59,,,,,,
FIM,5926,641,80.125,131,119,0,14,154,25,49,149,,,,,,,
FIM,8179,208,52.0,126,41,5,36,,,,,,,,,,,
