Team,Elo Rating for Total RPs
frc7226,4404.016723974031
frc6033,1061.239357770245
frc7160,3374.965919277931
frc6561,-2466.896989153596
frc5424,5927.721433104401
frc5086,1061.349605207028
frc6122,-2466.463454415997
frc6100,4406.372583889399
frc5878,-1805.7126353566161
frc5162,-545.8416861607462
frc8611,-2464.3487247391295
frc7855,-545.4091453495195
frc5227,-1802.9801047662772
frc7911,-4408.118290666399
frc6877,5930.4214616511745
frc8397,48.22095053922546
frc7256,2816.03588207481
frc7818,-542.9049148141108
frc302,6404.2555165129825
frc4422,4890.139812834134
frc4381,6684.935046226821
frc3656,6417.431784104737
frc4216,7269.583908928275
frc2832,3792.2345771140017
frc5066,50.991075498135515
frc6861,6424.888631677374
frc7197,8622.236494207644
frc1023,6714.578941234412
frc5676,4421.70917006436
frc7166,5947.244932312312
frc2611,9102.130511425323
frc7501,2818.437798707775
frc8297,-540.5326165696388
frc9210,53.50157789670831
frc3322,4423.954431185886
frc5090,5948.716077579227
frc9312,7275.494524072777
frc8373,2819.801212668463
frc2834,4905.527820635534
frc6556,2820.917623378284
frc1502,-538.2639552557339
frc7660,-537.9971443640209
frc7656,55.10619570027348
frc6570,4429.253470755555
frc5144,2822.221731726297
frc6150,-535.9588321312339
frc9209,2823.262694373736
frc8300,-2462.011008237214
frc8423,-2461.436523413747
frc8522,-4408.228769260433
frc9183,-5506.269286502099
frc5084,2824.3071934271507
frc4453,6437.63715821894
frc7221,1754.2683663846055
frc5205,-4408.352462024672
frc5559,-2460.8863540487987
frc1506,5965.099169369025
frc5460,8620.958842135493
frc70,7278.544532911516
frc33,7698.731259589986
frc4130,6446.94943854136
frc3668,6457.563012237561
frc245,5294.767603042549
frc7491,3391.5260831980363
frc9242,4431.691005972247
frc5641,1755.8551869346197
frc6067,-535.7223558617966
frc6610,-535.5955564831502
frc5436,5960.703500800563
frc4998,4433.643136283977
frc322,1757.377600610086
frc5660,7286.326956999436
frc9207,4435.549853244046
frc8193,-6018.224419048317
frc2145,1064.3558466595773
frc5538,1759.0477960831251
frc4994,4437.097150710124
frc5282,-2460.1443638084284
frc6102,-2459.411560939815
frc5193,-1798.0488830960358
frc5697,-535.5085468264426
frc8767,1067.3794634818453
frc5527,1760.6935203488931
frc7247,-3743.846186549974
frc1701,4438.863103433152
frc7790,6457.018912419504
frc5260,-2456.9002405961783
frc6631,1070.6961575160133
frc6073,1762.3364149050706
frc8385,1763.7443135170304
frc8728,8254.40767620442
frc6091,-535.1341375214528
frc894,53.17331692808069
frc9251,1765.1246233973632
frc7784,-4407.4464027566555
frc3538,6807.159760672313
frc67,7703.57526379162
frc4362,5301.560277387906
frc548,2824.6481817341573
frc503,3882.4825786999113
frc1025,1770.625979948212
frc6344,2825.587363982098
frc7598,1082.2634843871522
frc5167,7299.837615965665
frc308,2826.5041312312255
frc27,4937.671778759512
frc5561,8609.133037260148
frc3414,5962.556674069801
frc7056,7302.485001846003
frc5053,1082.8062927167318
frc8899,-4407.498791695403
frc7553,2827.352805768215
frc9204,1083.299845073963
frc7178,4446.416908586426
frc6120,4448.354288430498
frc2224,1769.392832136382
frc7224,4942.922570683218
frc6591,1770.7995457038764
frc9239,-2456.0324388203358
frc6528,4452.989170266329
frc66,5960.787554187812
frc6029,-533.1740225940396
frc6618,3398.111113871411
frc4737,4946.97612576187
frc5065,1088.9420583010008
frc6538,-533.1772806233025
frc3707,-533.4348418344891
frc5531,54.24645421704092
frc8519,2827.836815173856
frc7225,-532.3444578354004
frc8314,-3743.039541141406
frc5695,-4406.557609517739
frc4680,-1794.4775916615206
frc1714,2828.601147319824
frc2847,5961.765039711958
frc2264,2205.1712433898297
frc5348,2206.591993781684
frc6045,5316.762983573667
frc4728,11612.345907259669
frc5690,1089.0513552815285
frc7103,5964.106201992253
frc1816,4931.98521015772
frc7068,4460.412894526551
frc6175,1089.2412220819826
frc2574,1089.4073126005783
frc3042,3821.050567787937
frc5826,6468.487440841709
frc4511,56.29519501454024
frc3122,58.8429366358268
frc2531,-4406.471014953387
frc93,4462.987118606445
frc2530,5322.388265817104
frc8836,-530.3162505413235
frc2239,2207.782944111057
frc2823,4464.521816561147
frc1732,5967.178605430624
frc8744,6471.356224745319
frc2526,-530.9501165384535
frc3297,-1792.160573350336
frc4741,-1790.0991124483332
frc6217,-533.2247024771914
frc4009,4960.905250223788
frc3197,4469.855540737105
frc4011,7704.706069251372
frc7619,6744.463306864763
frc5653,1773.0673195598572
frc3267,-2449.173366610094
frc7041,-2448.0860445175244
frc2503,-2446.9942648047704
frc3276,5328.576510892402
frc2227,1780.5127999816873
frc5253,-3123.200126198404
frc3294,-3123.0580940356213
frc4693,434.8793403864627
frc5143,-3740.3147036098053
frc5464,7845.936292165574
frc2511,-4404.309109486896
frc2538,-4404.032991840634
frc2177,-4403.721050431572
frc6160,6481.852124835488
frc3291,-4403.379207640044
frc1716,-1238.5619242428588
frc8516,5331.412009462946
frc2861,-5504.159200280948
frc3692,1782.0006905484802
frc6047,-5503.226629975593
frc4656,-6015.468434090358
frc8372,-6015.188625034608
frc4229,1099.0816161152343
frc7797,-6880.1679807527335
frc7893,-6878.929127842355
frc8878,-1785.531037139063
frc6318,-7714.324441595383
frc5913,3412.2298517641666
frc2052,2209.14347944733
frc5232,3827.731330328415
frc4786,5969.630520706344
frc6421,6752.3640253753965
frc167,3829.4536527074083
frc4239,2828.2521875894995
frc7021,4470.090103950297
frc3883,10600.283656054908
frc2987,8243.501110925867
